"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-01T08:28:13+02:00";null;null;null;null;null;null;null;null;null;null;2390.1965
"2019-10-01T08:28:19+02:00";null;null;null;null;null;null;null;null;2456.8999;null;null
"2019-10-01T08:28:30+02:00";null;null;null;null;null;2509.9204;null;null;null;null;null
"2019-10-01T08:28:31+02:00";null;null;null;2617.687;null;null;null;null;null;null;null
"2019-10-01T08:28:40+02:00";null;2145.3525;null;null;null;null;null;null;null;null;null
"2019-10-01T08:28:46+02:00";null;null;null;null;null;null;null;null;null;2152.5657;null
"2019-10-01T08:28:52+02:00";null;null;null;null;null;null;null;2189.6863;null;null;null
"2019-10-01T08:28:58+02:00";null;null;null;null;2085.5186;null;null;null;null;null;null
"2019-10-01T08:28:59+02:00";4699.6006;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:29:07+02:00";null;null;2077.6555;null;null;null;null;null;null;null;null
"2019-10-01T08:29:13+02:00";null;null;null;null;null;null;null;null;null;null;2647.1843
"2019-10-01T08:29:19+02:00";null;null;null;null;null;null;null;null;2514.4932;null;null
