time,Room setpoint,Room Temp,return,return.1,discharge
02-Oct-2019 13:32:00,23.0,23.0,38.4,39.0,16.7
02-Oct-2019 13:33:00,23.0,22.9,38.4,39.1,16.7
02-Oct-2019 13:34:00,23.0,23.0,38.4,39.0,16.7
02-Oct-2019 13:35:00,23.0,23.0,38.4,39.2,16.7
02-Oct-2019 13:36:00,23.0,22.9,38.4,39.1,16.7
02-Oct-2019 13:37:00,23.0,23.0,38.4,39.1,16.7
02-Oct-2019 13:38:00,23.0,22.9,38.4,39.1,16.7
02-Oct-2019 13:39:00,23.0,22.9,38.5,39.3,16.7
02-Oct-2019 13:40:00,23.0,23.0,38.5,39.3,16.6
02-Oct-2019 13:41:00,23.0,22.9,38.6,39.4,16.6
02-Oct-2019 13:42:00,23.0,22.9,38.5,39.3,16.6
02-Oct-2019 13:43:00,23.0,23.0,38.6,39.3,16.7
02-Oct-2019 13:44:00,23.0,23.0,38.6,39.4,16.7
02-Oct-2019 13:45:00,23.0,23.0,38.6,39.3,16.7
02-Oct-2019 13:46:00,23.0,22.9,38.6,39.3,16.7
02-Oct-2019 13:47:00,23.0,23.0,38.6,39.4,16.7
02-Oct-2019 13:48:00,23.0,23.0,38.7,39.5,16.7
02-Oct-2019 13:49:00,23.0,23.0,38.7,39.4,16.7
02-Oct-2019 13:50:00,23.0,23.0,38.7,39.5,16.7
02-Oct-2019 13:51:00,23.0,22.9,38.6,39.4,16.7
02-Oct-2019 13:52:00,23.0,23.0,38.6,39.4,16.7
02-Oct-2019 13:53:00,23.0,23.0,38.6,39.3,16.7
02-Oct-2019 13:54:00,23.0,22.8,38.6,39.3,16.7
02-Oct-2019 13:55:00,23.0,22.9,38.7,39.5,16.7
02-Oct-2019 13:56:00,23.0,22.9,38.7,39.3,16.7
02-Oct-2019 13:57:00,23.0,23.0,38.7,39.5,16.7
02-Oct-2019 13:58:00,23.0,22.9,38.8,39.5,16.7
02-Oct-2019 13:59:00,23.0,22.9,38.8,39.5,16.7
02-Oct-2019 14:00:00,23.0,23.0,38.8,39.4,16.7
02-Oct-2019 14:01:00,23.0,22.9,38.8,39.5,16.7
02-Oct-2019 14:02:00,23.0,22.9,38.8,39.5,16.7
02-Oct-2019 14:03:00,23.0,23.1,38.7,39.5,16.7
02-Oct-2019 14:04:00,23.0,23.0,38.8,39.5,16.7
02-Oct-2019 14:05:00,23.0,22.9,38.8,39.4,16.7
02-Oct-2019 14:06:00,23.0,22.9,38.8,39.5,16.7
02-Oct-2019 14:07:00,23.0,22.9,38.8,39.6,16.7
