"Time";"power_1";"power_10";"power_11";"power_2";"power_3";"power_4";"power_5";"power_6";"power_7";"power_8";"power_9"
"2019-10-02T09:15:59+02:00";4571.0264;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:16:07+02:00";null;null;2147.0652;null;null;null;null;null;null;null;null
"2019-10-02T09:16:13+02:00";null;null;null;null;null;null;null;null;null;null;2546.5239
"2019-10-02T09:16:19+02:00";null;null;null;null;null;null;null;null;2549.9321;null;null
"2019-10-02T09:16:30+02:00";null;null;null;null;null;2427.344;null;null;null;null;null
"2019-10-02T09:16:31+02:00";null;null;null;2570.9663;null;null;null;null;null;null;null
"2019-10-02T09:16:40+02:00";null;2131.2866;null;null;null;null;null;null;null;null;null
"2019-10-02T09:16:46+02:00";null;null;null;null;null;null;null;null;null;2074.8018;null
"2019-10-02T09:16:50+02:00";null;null;null;null;null;null;2118.3916;null;null;null;null
"2019-10-02T09:16:52+02:00";null;null;null;null;null;null;null;2162.4963;null;null;null
"2019-10-02T09:16:58+02:00";null;null;null;null;2066.957;null;null;null;null;null;null
"2019-10-02T09:16:59+02:00";4640.9155;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:17:07+02:00";null;null;2173.6348;null;null;null;null;null;null;null;null
"2019-10-02T09:17:13+02:00";null;null;null;null;null;null;null;null;null;null;2441.9924
"2019-10-02T09:17:19+02:00";null;null;null;null;null;null;null;null;2469.1311;null;null
"2019-10-02T09:17:30+02:00";null;null;null;null;null;2521.6182;null;null;null;null;null
"2019-10-02T09:17:31+02:00";null;null;null;2526.7925;null;null;null;null;null;null;null
"2019-10-02T09:17:40+02:00";null;2021.783;null;null;null;null;null;null;null;null;null
"2019-10-02T09:17:46+02:00";null;null;null;null;null;null;null;null;null;2178.0156;null
"2019-10-02T09:17:50+02:00";null;null;null;null;null;null;2117.28;null;null;null;null
"2019-10-02T09:17:52+02:00";null;null;null;null;null;null;null;2129.6484;null;null;null
"2019-10-02T09:17:58+02:00";null;null;null;null;2116.1221;null;null;null;null;null;null
"2019-10-02T09:17:59+02:00";4833.9595;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:18:07+02:00";null;null;2160.6472;null;null;null;null;null;null;null;null
"2019-10-02T09:18:13+02:00";null;null;null;null;null;null;null;null;null;null;2648.8906
"2019-10-02T09:18:19+02:00";null;null;null;null;null;null;null;null;2685.3984;null;null
"2019-10-02T09:18:30+02:00";null;null;null;null;null;2586.2634;null;null;null;null;null
"2019-10-02T09:18:31+02:00";null;null;null;2616.5107;null;null;null;null;null;null;null
"2019-10-02T09:18:40+02:00";null;2088.0259;null;null;null;null;null;null;null;null;null
"2019-10-02T09:18:46+02:00";null;null;null;null;null;null;null;null;null;2152.875;null
"2019-10-02T09:18:50+02:00";null;null;null;null;null;null;2080.9736;null;null;null;null
"2019-10-02T09:18:52+02:00";null;null;null;null;null;null;null;2203.9351;null;null;null
"2019-10-02T09:18:58+02:00";null;null;null;null;2049.7258;null;null;null;null;null;null
"2019-10-02T09:18:59+02:00";4667.7817;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:19:07+02:00";null;null;2093.1401;null;null;null;null;null;null;null;null
"2019-10-02T09:19:13+02:00";null;null;null;null;null;null;null;null;null;null;2518.929
"2019-10-02T09:19:19+02:00";null;null;null;null;null;null;null;null;2501.6179;null;null
"2019-10-02T09:19:30+02:00";null;null;null;null;null;2573.9053;null;null;null;null;null
"2019-10-02T09:19:31+02:00";null;null;null;2517.5439;null;null;null;null;null;null;null
"2019-10-02T09:19:40+02:00";null;2148.6934;null;null;null;null;null;null;null;null;null
"2019-10-02T09:19:46+02:00";null;null;null;null;null;null;null;null;null;2124.3525;null
"2019-10-02T09:19:50+02:00";null;null;null;null;null;null;2117.9314;null;null;null;null
"2019-10-02T09:19:52+02:00";null;null;null;null;null;null;null;2137.9199;null;null;null
"2019-10-02T09:19:58+02:00";null;null;null;null;2110.4844;null;null;null;null;null;null
"2019-10-02T09:19:59+02:00";4585.5635;null;null;null;null;null;null;null;null;null;null
"2019-10-02T09:20:07+02:00";null;null;2121.6541;null;null;null;null;null;null;null;null
"2019-10-02T09:20:13+02:00";null;null;null;null;null;null;null;null;null;null;2396.7732
