"Time";"signal_default";"signal_max_1";"signal_max_2";"signal_min"
"2019-10-01T10:39:02+02:00";50.2;90;90;10
"2019-10-01T10:39:32+02:00";51.6;90;90;10
"2019-10-01T10:40:02+02:00";50.6;90;90;10
"2019-10-01T10:40:32+02:00";49.5;90;90;10
"2019-10-01T10:41:02+02:00";50.9;90;90;10
"2019-10-01T10:41:32+02:00";50.4;90;90;10
"2019-10-01T10:42:02+02:00";49.3;90;90;10
"2019-10-01T10:42:32+02:00";50.2;90;90;10
"2019-10-01T10:43:02+02:00";49.6;90;90;10
"2019-10-01T10:43:32+02:00";49.9;90;90;10
"2019-10-01T10:44:02+02:00";50.7;90;90;10
"2019-10-01T10:44:32+02:00";48.7;90;90;10
"2019-10-01T10:45:02+02:00";48.4;90;90;10
"2019-10-01T10:45:32+02:00";48.3;90;90;10
"2019-10-01T10:46:02+02:00";49;90;90;10
"2019-10-01T10:46:32+02:00";49.6;90;90;10
"2019-10-01T10:47:02+02:00";49.6;90;90;10
"2019-10-01T10:47:32+02:00";49.2;90;90;10
"2019-10-01T10:48:02+02:00";48.6;90;90;10
"2019-10-01T10:48:32+02:00";47.6;90;90;10
"2019-10-01T10:49:02+02:00";47.4;90;90;10
"2019-10-01T10:49:32+02:00";46;90;90;10
"2019-10-01T10:50:02+02:00";45.6;90;90;10
"2019-10-01T10:50:32+02:00";46.7;90;90;10
"2019-10-01T10:51:02+02:00";45.5;90;90;10
"2019-10-01T10:51:32+02:00";42.9;90;90;10
"2019-10-01T10:52:02+02:00";43.4;90;90;10
"2019-10-01T10:52:32+02:00";44.9;90;90;10
"2019-10-01T10:53:02+02:00";43.6;90;90;10
"2019-10-01T10:53:32+02:00";41.2;90;90;10
"2019-10-01T10:54:02+02:00";42.5;90;90;10
"2019-10-01T10:54:32+02:00";42.9;90;90;10
"2019-10-01T10:55:02+02:00";39.1;90;90;10
"2019-10-01T10:55:32+02:00";40.7;90;90;10
"2019-10-01T10:56:02+02:00";40.8;90;90;10
"2019-10-01T10:56:32+02:00";40.1;90;90;10
"2019-10-01T10:57:02+02:00";39;90;90;10
"2019-10-01T10:57:32+02:00";39;90;90;10
"2019-10-01T10:58:02+02:00";37.3;90;90;10
"2019-10-01T10:58:32+02:00";37.8;90;90;10
"2019-10-01T10:59:02+02:00";37.4;90;90;10
"2019-10-01T10:59:32+02:00";38.4;90;90;10
"2019-10-01T11:00:02+02:00";37.7;90;90;10
"2019-10-01T11:00:32+02:00";37.9;90;90;10
"2019-10-01T11:01:02+02:00";38.6;90;90;10
"2019-10-01T11:01:32+02:00";35;90;90;10
"2019-10-01T11:02:02+02:00";35.6;90;90;10
"2019-10-01T11:02:32+02:00";36.2;90;90;10
"2019-10-01T11:03:02+02:00";37.8;90;90;10
"2019-10-01T11:03:32+02:00";36.3;90;90;10
"2019-10-01T11:04:02+02:00";36;90;90;10
